Sample ID,Sample Date,Beach Name,Sample Location,Enterococci Results,Units or Notes
080805SI01,2005-08-08,WOLFE'S POND PARK,Left,164,MPN/100 ml
083010GR05,2010-08-30,MANHATTAN BEACH,Center,64,MPN/100 ml
051215CP01,2015-05-12,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Left,4,MPN/100 ml
072506LC02,2006-07-25,WOLFE'S POND PARK,Center,4,MPN/100 ml
050707GR04,2007-05-07,MANHATTAN BEACH,Left,8,MPN/100 ml
081517JA21,2017-08-15,LOCUST POINT YACHT CLUB,Right,20,MPN/100 ml
052715GR21,2015-05-27,LOCUST POINT YACHT CLUB,Right,4,MPN/100 ml
071012GR03,2012-07-10,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,Right,20,MPN/100 ml
042015CP13,2015-04-20,MIDLAND BEACH,Center,12,MPN/100 ml
080310KB01,2010-08-03,DOUGLASTON HOMEOWNERS ASSOCIATION,Left,44,MPN/100 ml
081406BH24,2006-08-14,MORRIS YACHT AND BEACH CLUB,Left,4,MPN/100 ml
060116HL13,2016-06-01,WEST FORDHAM STREET ASSOCIATION,Left,36,MPN/100 ml
070207BH07,2007-07-02,MORRIS YACHT AND BEACH CLUB,Left,16,MPN/100 ml
062810GR04,2010-06-28,MANHATTAN BEACH,Left,4,MPN/100 ml
070505LH09,2005-07-05,WHITE CROSS FISHING CLUB,Right,4,MPN/100 ml
051810KB08,2010-05-18,MIDLAND BEACH,Center,8,MPN/100 ml
082012KB01,2012-08-20,DOUGLASTON HOMEOWNERS ASSOCIATION,Left,28,MPN/100 ml
060506GR06,2006-06-05,MANHATTAN BEACH,Right,12,MPN/100 ml
090506BH12,2006-09-05,CONEY ISLAND OCEAN PKWY - WEST 8TH,Center,4,MPN/100 ml
082409KB10,2009-08-24,SOUTH BEACH,Left,12,MPN/100 ml
073106JR03,2006-07-31,MANHATTAN BEACH,Right,4,MPN/100 ml
050508BH03,2008-05-05,SI YMCA OF GREATER NEW YORK,Right,12,MPN/100 ml
082305MR06,2005-08-23,SCHUYLER HILL CIVIC ASSOCIATION,Right,8,MPN/100 ml
062005MG28,2005-06-20,ORCHARD BEACH,Left,4,MPN/100 ml
081007GR10,2007-08-27,CONEY ISLAND WEST 8TH - PIER,Center,12,MPN/100 ml
060116IM10,2016-06-01,DANISH AMERICAN BEACH CLUB,Left,4,MPN/100 ml
081709GR10,2009-08-17,CONEY ISLAND BR. 15TH - 6TH,Center,4,MPN/100 ml
060805BH08,2005-06-08,ORCHARD BEACH,Center,80,MPN/100 ml
082007BH15,2007-08-20,AMERICAN TURNERS,Right,24,MPN/100 ml
050106EL04,2006-05-01,MANHATTAN BEACH,Left,12,MPN/100 ml
050509KB02,2009-05-05,DOUGLASTON HOMEOWNERS ASSOCIATION,Center,76,MPN/100 ml
083109GR06,2009-08-31,WHITE CROSS FISHING CLUB,Right,4,MPN/100 ml
